,_key,city,country,employees_on_linkedin,faxNumber,followers,founded,hq,image_url,industry,linkedin_id,naics,naicsText,name,overview,phoneNumber,postal,revenue,sic,sicText,size,specialites,state,street_1,street_2,type,updated,url,website
10,0000232c-a911-41a2-9405-fe6473d9af25,,United States,,,0,,United States,,Printing,6062515,,,Moss Printing Inc.,Moss Printing Inc. is a Printing company located in United States.,,,,,,11-50 employees,,,",",,,2016-04-24T20:48:53,www.linkedin.com/company/moss-printing-inc-,http://mossbluffprinting.com
11,0000418a-9123-462d-8efd-c202126301a3,Nishi-Tokyo-shi,Japan,,,2,,"4-26-3 Shibakubo-cho, Nishitokyo City, Tokyo, 188-0014, Japan, Nishitokyo, Tokyo, 188-0014, Japan",,Computer Software,8484819,,,Touei Housing Corp (8875),"Touei Housing Corp (8875) is a Computer Software company located in 4-26-3 Shibakubo-cho, Nishitokyo City, Tokyo, 188-0014, Japan, Nishitokyo, Tokyo, Japan.",,188-0014,,,,1-10 employees,,Tokyo,"4-26-3 Shibakubo-cho, Nishitokyo City, Tokyo, 188-0014, Japan",,,2016-04-21T09:10:06,www.linkedin.com/company/touei-housing-corp-8875-,http://www.touei.co.jp
12,0000438f-f3df-4f6b-830d-05ff05991ce9,,,,,4,,,http://media.licdn.com/mpr/mpr/shrink_200_200/p/2/005/059/028/019c242.png,Information Technology and Services,5178107,,,Audio Visual,"AV Solutions Provider specializing in collaborative tech design, integration and managed services. Implement interactive environments, including telepresence/VC rooms, digital signage & auditoriums",,,,,,11-50 employees,,,,,,2016-04-21T03:11:56,www.linkedin.com/company/audio-visual,http://www.digicom.ie/audio-visual/page/category/video-conferencing/video-conferencing
13,00004a9b-dcfc-4069-b059-ea40c172e3e7,Newark,United States,,,0,,"120 Van Buren St, Newark, New Jersey, 07105-2721, United States",,,4585295,,,Fts Travel,"Fts Travel is a company based out of 120 Van Buren St, Newark, New Jersey, United States.",,07105-2721,,,,,,New Jersey,120 Van Buren St,,,2016-04-22T06:34:23,www.linkedin.com/company/fts-travel,http://www.ftstravel.mk
14,0000521d-16fb-4317-a000-1530672aec02,Cape Coral,United States,,,0,,"224 SE 31ST TER, CAPE CORAL, Florida, 33904-3442, United States",,,9930081,,,Jencraft,"Jencraft is a company based out of 224 SE 31ST TER, CAPE CORAL, Florida, United States.",,33904-3442,,,,,,Florida,224 SE 31ST TER,,,2016-04-22T00:22:56,www.linkedin.com/company/jencraft,
15,00005238-809c-43a8-be06-f87566565d02,Rijnsburg,Netherlands,,,7,,"Laan van Verhof 40, Rijnsburg, 2231 BZ, Netherlands",http://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAb2AAAAJDJjMTc1MWIxLTRiNDktNDA0MS05M2U2LTM1NDViMWU2NDI4OQ.png,Wholesale,10510852,,,Van der Plas Groep B.V.,"Familiebedrijf Van der Plas mag zich met trots een van de grootste spelers noemen in de bloemen- en plantenexport. Naast traditie en persoonlijk contact staat Van der Plas al 50 jaar garant voor innovatie en expertise op het gebied van bloemen en planten. Optimale kwaliteit is een vanzelfsprekend feit.\r\n\r\nVan der Plas biedt een totaalpakket voor de groothandelaar, bloemist, winkelketen, de export- en commissiehandel en grootimporteur. Het gigantische assortiment bestaat uit snijbloemen, snijgroen, planten, decoratie en vele andere aanverwante artikelen. Bij Van der Plas vindt u alles onder één dak.",,2231 BZ,,,,501-1000 employees,,,Laan van Verhof 40,,Privately Held,2016-05-16T21:46:17,www.linkedin.com/company/van-der-plas-flowers-and-plants-b-v-,http://www.wvdplas.nl
16,000057e8-77f0-40ff-aec7-635b2b977a91,Hof,Germany,,,0,,"105 Schleizer Straße, Hof / Saale, 95028, Germany",,,7548350,,,SP Media Agentur Hof GmbH,"SP Media Agentur Hof GmbH is a company based out of 105 Schleizer Straße, Hof / Saale, Germany.",,95028,,,,,,,105 Schleizer Straße,,,2016-04-21T02:49:47,www.linkedin.com/company/sp-media-agentur-hof-gmbh,http://media-agentur-hof.de
17,00005816-b976-4b99-8c10-4f78638e71f7,,,,,2,2015.0,,http://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAATMAAAAJDViMjg2MjEzLWE4ZTAtNDA4Ni1iOGE0LWQ3YjI0MTlmZjQ0Zg.png,Design,10459872,,,Styleguide,"Styleguide identify new ways to serve and support people by uncovering latent needs, behaviours, and desires.\r\n\r\nWe envision new companies and brands, and we design the products, services, and interactive experiences that bring them to life.",,,,,,1-10 employees,"Branding & Positioning, Brand Strategy, Web Design, UI & UX, Product design, Strategic Design",,,,Self Owned,2016-05-21T07:05:17,www.linkedin.com/company/styleguide,http://www.styleguide.com.co
18,00005854-dc2d-4d13-a1e0-2c5b13956355,Kolkata,India,,,6,,"12/2A Kyd Street, Kolkata, West Bengal, 700016, India",,Hospitality,6179064,,,Dee Empresa Hotel,"Dee Empresa Hotel is a Hospitality company located in 12/2A Kyd Street, Kolkata, West Bengal, India.",,700016,,,,11-50 employees,,West Bengal,12/2A Kyd Street,,,2016-05-16T19:12:39,www.linkedin.com/company/dee-empresa-hotel,http://www.deeempresa.com
19,00005fc3-ae6f-4f9e-9134-2a89ad1efc92,Bromley,United Kingdom,,,1,,"93 Chatterton Rd, Bromley, BR2 9QQ, United Kingdom",,Gambling & Casinos,5627680,,,PLAYOUT MARKETING LIMITED,"PLAYOUT MARKETING LIMITED is a gambling and casinos company based out of 93 Chatterton Rd, Bromley, United Kingdom.",,BR2 9QQ,,,,,,,93 Chatterton Rd,,,2016-04-21T14:24:17,www.linkedin.com/company/playout-marketing-limited,
20,000061e0-d6d3-42e2-8d22-88c1a7422b87,,,,,0,,,,,10046475,,,GUTSTECH,,,,,,,,,,,,,2016-04-24T17:11:23,www.linkedin.com/company/gutstech,
21,000069fe-48bb-4059-970a-7a2cc742adba,Toronto,Canada,,,1,,"7 Parnell Ave, Toronto, ON, M1K 1B1, Canada",,Security and Investigations,6524462,,,Honey Crust Bakery Co Limited,"Honey Crust Bakery Co Limited is a Security and Investigations company located in 7 Parnell Ave, Toronto, ON, Canada.",,M1K 1B1,,,,1-10 employees,,ON,7 Parnell Ave,,,2016-04-24T19:00:38,www.linkedin.com/company/honey-crust-bakery-co-limited,http://www.honeycrust.com
22,00006b4d-ffcd-476c-9eaf-109c383568f4,Chesterfield,USA,,0,2,,"48750 Structural Dr, Chesterfield, Michigan, 48051-2663, United States",http://media.licdn.com/mpr/mpr/shrink_200_200/p/2/005/09e/132/161ee94.png,Machinery,3904623,336211,,Off Site Manufacturing,"Off Site Manufacturing is a Machinery company located in 48750 Structural Dr, Chesterfield, Michigan, United States.",(586) 598-3110,48051,,,,51-200 employees,,MI,50350 E Russell Sch,,,2016-04-22T02:49:03,www.linkedin.com/company/off-site-manufacturing,http://www.offsitemfg.com
23,00006c9c-237d-45a6-b418-2b971a4277fa,Seattle,United States,,,0,,"118 N Argyle Pl, Seattle, Washington, 98103-5815, United States",,Architecture & Planning,8104109,,,Lapatra Architects,"Lapatra Architects is an Architecture and Planning company located in 118 N Argyle Pl, Seattle, Washington, United States.",,98103-5815,,,,1-10 employees,,Washington,118 N Argyle Pl,,,2016-04-22T07:04:22,www.linkedin.com/company/lapatra-architects,
24,00006f9b-b0ea-4b9d-b044-fd846b5783e8,Hicksville,United States,,,0,,"Railroad Station Plz, Hicksville, New York, 11801, United States",,Construction,8863314,,,Island Rent A Car,"Island Rent A Car is a construction company based out of Railroad Station Plz, Hicksville, New York, United States.",,11801,,,,,,New York,Railroad Station Plz,,,2016-04-21T17:02:53,www.linkedin.com/company/island-rent-a-car,http://islandrentacar.ca
25,000073c1-35f0-49bb-9734-03e106661521,Compton,United States,,,2,,"1801 E Rosecrans Ave, Compton, California, 90221-1707, United States",,,8142106,,,Compton Nursery,"Quality childcare for children aged three months to five years in Compton, Devon. Ofsted regulated early years education near torbay, Torquay, Paignton.",,90221-1707,,,,,,California,1801 E Rosecrans Ave,,,2016-04-22T07:20:38,www.linkedin.com/company/compton-nursery,http://www.comptonvalleynursery.com
26,00007bda-fc01-4d3e-9728-fbb0199e426d,Buffalo,United States,,,0,,"3124 Bailey Ave, Buffalo, New York, 14215-1624, United States",,Consumer Services,9111799,,,Family Saver,"Family Saver is a consumer services company based out of 3124 Bailey Ave, Buffalo, New York, United States.",,14215-1624,,,,,,New York,3124 Bailey Ave,,,2016-04-22T04:17:55,www.linkedin.com/company/family-saver,http://www.familysavercard.com
27,00007f5f-39b1-49fe-8ed9-b5cdc4d3febd,Roxbury Crossing,United States,,,0,,"120 Fisher Ave, Roxbury Crossing, Massachusetts, 02120-3320, United States",,,8965229,,,Aj Martini Inc,"Aj Martini Inc is a company based out of 120 Fisher Ave, Roxbury Crossing, Massachusetts, United States.",,02120-3320,,,,,,Massachusetts,120 Fisher Ave,,,2016-04-21T19:13:29,www.linkedin.com/company/aj-martini-inc,
28,00008002-4635-44f6-ab69-c2fb4567e59b,Van Nuys,United States,,,5,,"6743 Sepulveda Blvd, Van Nuys, California, 91411-1219, United States",http://media.licdn.com/mpr/mpr/shrink_200_200/p/1/005/09d/006/0067537.jpg,Retail,4352323,,,Bob Sands Fishing Tackle,"Bob Sands Fishing Tackle is a Retail company located in 6743 Sepulveda Blvd, Van Nuys, California, United States.",,91411-1219,,,,1-10 employees,,California,6743 Sepulveda Blvd,,,2016-04-22T00:40:11,www.linkedin.com/company/bob-sands-fishing-tackle,http://www.bobsandsfishingtackle.com
29,000085b7-943c-40f6-8f80-f9f459d82c28,Fowler,United States,,,0,,"4249 E Parlier Ave, Fowler, California, 93625-9626, United States",,,3975404,,,Mike Yoshimoto,"Mike Yoshimoto is a company based out of 4249 E Parlier Ave, Fowler, California, United States.",,93625-9626,,,,,,California,4249 E Parlier Ave,,,2016-04-21T20:07:50,www.linkedin.com/company/mike-yoshimoto,
30,00008737-0845-4ac8-9a5a-9111472e48be,Denver,United States,,,0,,"7740 York St, Denver, Colorado, 80229-6613, United States",,Civil Engineering,8693996,,,Domenico Farms,"Domenico Farms is a Civil Engineering company located in 7740 York St, Denver, Colorado, United States.",,80229-6613,,,,1-10 employees,,Colorado,7740 York St,,,2016-04-21T23:14:22,www.linkedin.com/company/domenico-farms,
31,000087f5-1e27-48ab-86bc-305409c5e8e4,,Germany,,,0,,Germany,,,7313045,,,machwerk gmbh,machwerk gmbh is a company based out of Germany.,,,,,,,,,,,,2016-04-23T11:08:31,www.linkedin.com/company/machwerk-gmbh,http://machwerk-aachen.de
32,00008b01-7187-41c4-91e1-04afb0d786ef,Sugar Land,United States,,,9,,"1419 Ashwood Dr, Sugar Land, Texas, 77478-2436, United States",,Research,4181831,,,Toner Cartridge Service,"Toner Cartridge Service is a Research company located in 1419 Ashwood Dr, Sugar Land, Texas, United States.",,77478-2436,,,,1-10 employees,,Texas,1419 Ashwood Dr,,,2016-04-22T03:03:43,www.linkedin.com/company/toner-cartridge-service,
33,00009f22-8fca-4144-b94b-7d2203a0bf30,Provincie Utrecht,Netherlands,,,9,2015.0,"Wolvenplein 27, Utrecht, Utrecht, 3512 CK, Netherlands",http://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAALtAAAAJDc5ZDczZWY5LWFiYWItNGQ2Zi05OWQ1LTM3YmU2NDI2ZTlkMw.png,Internet,9548979,,,Stepr Online,"Wij bedenken, ontwerpen, realiseren en verbeteren online oplossingen. Op maat gemaakt en afgestemd op de verwachtingen van onze partners. Wij geloven in partijen die nu nog onbemand zijn om zelf een volledige e-commerce afdeling te runnen maar wel volledige online aanwezigheid nastreven. Partijen die nog niet in staat zijn flinke investeringen vrij te maken voor online aanwezigheid maar wel de overtuiging hebben dat ze niet zonder een professionele web ondersteuning kunnen ondernemen. Onze kracht zit in de combinatie van meedenken en ondernemen. Praktisch en doelgericht. Wij geloven en zijn gebrand op realistische oplossingen met oog voor detail. Met vernieuwende web oplossingen die elke ondernemer met drive en passie de online aandacht te bieden die ze verdienen.\r\n\r\nWe geloven er in om snel concreet te worden, te handelen. Het doorklikken van een simpel prototype zegt meer dan een lijst met wensen en eisen. Bedenken, ontwerpen, realiseren en bouwen. Snel en vakkundig. Het echte werk begint pas als we online zijn. Stepr-online zorgt dat alles up to date blijft. Vindbaarheid, zichtbaarheid, marketing, social media en volledige analyse van bezoekersstromen zijn onderdeel van ons concept. Nieuwsgierig? Je bent van harte welkom!",,3512 CK,,,,1-10 employees,"Web development, Web design, Online marketing, E-commerce, Online B2B solutions",Utrecht,Wolvenplein 27,,Public Company,2016-05-16T23:14:07,www.linkedin.com/company/stepr-online,http://www.stepronline.nl
34,0000a1f6-9472-4cc8-9edd-22fdde22eee1,Martinez,United States,,,4,,"3938 Washington Rd, Martinez, Georgia, 30907-2349, United States",http://media.licdn.com/mpr/mpr/shrink_200_200/p/1/005/09e/135/08041dd.jpg,Marketing and Advertising,3912739,,,Catholic Stewardship Conslnts,"Catholic Stewardship Conslnts is a Marketing and Advertising company located in 3938 Washington Rd, Martinez, Georgia, United States.",,30907-2349,,,,1-10 employees,,Georgia,3938 Washington Rd,,,2016-04-22T04:20:46,www.linkedin.com/company/catholic-stewardship-conslnts,http://www.catholicsteward.com
35,0000a7d3-6870-41c1-a91d-4a1284e298ba,City of London,United Kingdom,,,4,2014.0,"Mill Hill, London, United Kingdom",http://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAZNAAAAJGU5OTljMjVjLTY1MTMtNDA2Yi05YjdkLTYxMTEzZTc3Y2ZkYw.png,Internet,10180315,,,Sahara Internet,"Sahara Internet is a UK Internet company, based in London. The company incubates and develops its own Internet properties, Portals and Technology. \r\n\r\nSahara Internet is committed to building Internet businesses around the globe, with emphasis on emerging markets. We wish to establish digital businesses free of clutter, focused on a bright, promising, and inventive future.\r\n\r\nThe breadth of our domain inventory allows us to work with the world's digital flow in the furtherance of all our goals.\r\n\r\nStrategic partners who appreciate our style and offer added value to our web initiatives are welcome to present proposals in writing only via this website.\r\n\r\nWe are a true Internet entity pioneering the innovations of tomorrow's web.",,,,,,1-10 employees,"Internet Development, Online Business, E-Commerce",,Mill Hill,,Privately Held,2016-05-17T10:18:31,www.linkedin.com/company/sahara-internet,http://saharainternet.com
36,0000a8c1-d989-47b9-9d16-ea029af6e2ec,St Austell,United Kingdom,,,4,,"9 Tregarne Terrace, Saint Austell, PL25 4DD, United Kingdom",,Hospitality,4663560,,,Goldleaf Recruitment Limited,"Goldleaf Recruitment Limited is a Hospitality company located in 9 Tregarne Terrace, Saint Austell, United Kingdom.",,PL25 4DD,,,,1-10 employees,,,9 Tregarne Terrace,,,2016-04-21T14:37:32,www.linkedin.com/company/goldleaf-recruitment-limited,
37,0000a8e0-4a0f-4184-bd35-f0210f42d0dc,New Mexico,United States,,,0,,"42400 Grand River Ave # 111, Novi, Michigan, 48375-2572, United States",,Construction,4301646,,,W R Thompson Pc,"W.R. Thompson, P.C. CPAs located in Wixom, Michigan is a full service tax and accounting firm. We take pride in helping our clients with friendly service and a attention to detail that is unmatched.",,48375-2572,,,,1-10 employees,,Michigan,42400 Grand River Ave # 111,,,2016-04-22T01:04:25,www.linkedin.com/company/w-r-thompson-pc,http://www.wrtcpa.com
38,0000ab2e-9b79-40fb-be62-1e6a700ab075,,,,,26,,,http://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAARCAAAAJDdhY2MxMGMxLWUxNWYtNDQ5Ni04YTUwLWU4ZDBhNDEyYzk5Mw.png,Broadcast Media,3879382,,,Bluewater Studios - Media - Digital,"What if you could increase your brand awareness, drive immediate sales and eliminate your ad expenses all at the same time? It’s doable, and we’ll show you how.",,,,,,11-50 employees,,,,,,2016-05-20T19:48:16,www.linkedin.com/company/bluewater-studios---media,http://www.bluewatermedia.tv
39,0000ade8-17e1-40a0-b39b-b501e6f2a853,Boston,United States,,,0,,"620 Washington St # 121, Boston, Massachusetts, 02111-1721, United States",,Consumer Goods,5670511,,,Back Bay Coach,"Back Bay Coach is a Consumer Goods company located in 620 Washington St # 121, Boston, Massachusetts, United States.",,02111-1721,,,,1-10 employees,,Massachusetts,620 Washington St # 121,,,2016-04-22T07:11:46,www.linkedin.com/company/back-bay-coach,
40,0000af8c-9171-4c31-b2a7-d0ec9b1eedec,Arica,Chile,,,0,,"Avenida Chacabuco 496 Of., Arica, Arica and Parinacota Region, Chile",,Apparel & Fashion,3910818,,,Comercializadora Internacional Limitada,"Comercializadora Internacional Limitada is an Apparel and Fashion company located in Avenida Chacabuco 496 Of., Arica, Arica and Parinacota Region, Chile.",,,,,,11-50 employees,,Arica and Parinacota Region,Avenida Chacabuco 496 Of.,,,2016-04-21T01:29:59,www.linkedin.com/company/comercializadora-internacional-limitada,http://www.nike.comar
41,0000b2eb-06e9-4d5a-ada6-dc4a2f20ed37,,Argentina,,,1,,Argentina,,,7184989,,,Fecoagro de San Juan Ltda.,Fecoagro de San Juan Ltda. is a company based out of Argentina.,,,,,,,,,,,,2016-04-20T22:07:38,www.linkedin.com/company/fecoagro-de-san-juan-ltda-,http://fecoagro.com.ar
42,0000bbb8-77e8-4d59-a09d-008801b3332b,,,,,4,,,http://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAbgAAAAJGE0MmY4NGYyLWIzZTEtNGQxOC04MjUyLTE2YWY1MDlmM2I2OQ.png,Law Enforcement,10235116,,,Paragon Training Solutions,"Innovative Public and Private Sector Education\r\nLeading Provider of Counsel and Training for People Management, Behavioral Science, Ethics, and Emotional Growth in Law Enforcement and Human Resources\r\n\r\nOur mission is to contribute to the success of any public or private sector organization. We believe that any organization’s strength is their people and to get the most from those people’s strengths and talents you can implement ethical training that utilizes both pragmatism as well as empathy. Employee buy-in is crucial to the success of this training. Critical thinking is a key to a successful transformation and is the basis of our seminars. In our eyes, professionalism and excellence is defined on the basis of objective judgment, integrity, loyalty, dedication, honesty and respect, but most importantly, the ability to exhibit emotionally intelligent behaviors under the most stressful and unimaginable conditions.\r\n\r\nWe offer a series of behavioral and ethical training seminars that you can use to establish a standard in your department or organization. Our courses can be specialized and individualized to the needs of your organization. You can train an entire department at once or send a couple of employees at a time to learn the information with others with different business backgrounds. \r\n\r\nWe will provide help in:\r\nEstablishing a baseline for your organization\r\n● Help with critical thinking exercises to ensure the best decisions\r\n● Predicting employee turnover to limit and risk \r\n● Increasing employee buy-in and improving morale and productivity \r\n● Providing a safer and harassment free work environment\r\n● Reducing management fatigue with employee behavior\r\n● Reducing the risk of legal liabilities",,,,,,1-10 employees,"Ethical Training, Critical Thinking, Decision Making Processes",,,,Educational,2016-05-21T09:12:43,www.linkedin.com/company/paragon-training-solutions,http://www...com
43,0000bce0-f81d-4c6f-aea0-fde45fcc1a1b,Loomis,United States,,,114,1998.0,"5948 King Road, Loomis, CA, 95650, United States",http://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAH_AAAAJGExMDgxNGFhLTYwNmEtNGE3OC04MTg2LTc4NjdjY2M5ODMyOQ.png,Construction,6442291,238990,All Other Specialty Trade Contractors,Landmark Construction (Loomis),"Landmark Construction was established to create a new model for collaboratively building inspiring public facilities.\r\n\r\nThe concept for Landmark Construction came to light during a casual barbeque among neighbors. Lamenting the arguments, dissension and frustration that typically accompanied major public construction projects, Landmark founders Joe Bittaker and Paul Hanson agreed that there had to be a better way.\r\n\r\nThey resolved to establish a new way of doing business that resulted in public sector clients benefiting from methods that are often used in private projects, built on the foundation of collaboration.\r\n\r\nWith proactive planning, Joe and Paul forged better ways to work with architects, owners and subcontractors. By working together early in the process, they uncovered problems and opportunities, and made changes to improve projects long before the first foundation was poured. The partners instilled a company-wide philosophy of customer service and a dedication to working in partnership to find the best solutions at every phase of planning and construction.\r\n\r\nThrough honest assessment of project goals and practical recommendations to improve constructability, Joe and Paul successfully resolved unexpected problems and met difficult budget and time constraints. Landmark’s cooperative approach delighted owners and built a reputation that attracted other clients. As a result, Landmark has completed hundreds of millions of dollars of complex projects with an unmatched record of delivering 100% of projects on time, within budget and without dispute. The passion for collaboration burns brightly through Landmark’s entire operation. And they still like to barbeque when celebrating the completion of a project.",(916) 663-1953,95650,$5.92M,1799,"Special Trade Contractors, NEC",11-50 employees,"Construction Management, Modernizations, Lease-Leaseback, Renovations, Pre-Construction Services, Collaboration, Design-Build, Educational Facilities, Public Facilities, Athletic Facilities and Fields",CA,5948 KING RD,,Privately Held,2016-05-17T21:45:15,www.linkedin.com/company/landmark-modernization-contractors-dba-landmark-construction,http://www.landmarkconst.net
44,0000be06-5cb8-4df7-8df9-914e4eeed275,Sturtevant,United States,,,0,,"9809 Durand Ave, Sturtevant, Wisconsin, 53177-2442, United States",,Education Management,9045616,,,Hiawatha Bar & Grill,"Hiawatha Bar & Grill is an Education Management company located in 9809 Durand Ave, Sturtevant, Wisconsin, United States.",,53177-2442,,,,1-10 employees,,Wisconsin,9809 Durand Ave,,,2016-04-21T23:13:19,www.linkedin.com/company/hiawatha-bar-&-grill,http://www.packerlandbroadband.com/news.html
45,0000c092-df5a-4d29-a3d4-cc703d6610ec,Madīnat as Sādis min Uktūbar,Egypt,,,44,1996.0,"26th July extension, 6th October City, Egypt",http://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAMgAAAAJDk2MjI5NjMwLTA3ZWMtNGQ4Ni1iNjE2LTFjZDdiYWYyNDUyOQ.png,Consumer Goods,10024238,,,Raya For Business,"Raya for business was established in 1996 as a subsidiary of Raya Holding, which caters primarily to the consumer market through an IT portfolio of products including a range of computers, peripherals, and other accessories under brands such as Hewlett Packard, Dell, Xerox, 3Com, D-Link, Intel, and Microsoft. Its network encompasses around 750 points of sale and mega corporate accounts with 1000 employees.",,,,,,501-1000 employees,,,26th July extension,,Privately Held,2016-05-16T12:36:57,www.linkedin.com/company/raya-for-business,http://www.rayatrade.com/distributionbrands
